overlap_group,true_label,pred_label_traditional,pred_label_deep,count,avg_deep_confidence,avg_hair_ratio
both_wrong,mel,nv,nv,13,0.7432286553846155,0.03207692307692307
both_wrong,mel,bkl,nv,5,0.628899048,0.0182
both_wrong,bkl,nv,nv,4,0.9278944075,0.02325
both_wrong,bkl,nv,mel,3,0.7888818666666667,0.08900000000000001
both_wrong,mel,bkl,bkl,3,0.6438489866666667,0.016666666666666666
both_wrong,nv,bkl,bkl,3,0.5351533133333334,0.011333333333333334
both_wrong,akiec,nv,mel,2,0.83967301,0.023
both_wrong,mel,akiec,nv,2,0.65253663,0.037000000000000005
both_wrong,bkl,nv,akiec,1,0.99960274,0.004
both_wrong,akiec,mel,mel,1,0.9947074,0.041
both_wrong,bkl,akiec,nv,1,0.8158577,0.001
both_wrong,bkl,akiec,mel,1,0.6676259,0.013
both_wrong,akiec,nv,bkl,1,0.66375214,0.041
both_wrong,akiec,nv,nv,1,0.64790535,0.034
both_wrong,nv,bkl,mel,1,0.57053614,0.01
traditional_correct_deep_wrong,nv,nv,mel,14,0.7548804914285715,0.02392857142857143
traditional_correct_deep_wrong,nv,nv,vasc,4,0.760286295,0.024
traditional_correct_deep_wrong,mel,mel,nv,4,0.7510763575,0.023
traditional_correct_deep_wrong,nv,nv,bkl,3,0.6896698,0.012333333333333333
traditional_correct_deep_wrong,bkl,bkl,akiec,1,0.9907898,0.037
traditional_correct_deep_wrong,akiec,akiec,bcc,1,0.9576061,0.004
traditional_correct_deep_wrong,bkl,bkl,mel,1,0.8814675,0.014
traditional_correct_deep_wrong,bkl,bkl,bcc,1,0.64972025,0.002
traditional_correct_deep_wrong,nv,nv,bcc,1,0.56698626,0.046
traditional_correct_deep_wrong,mel,mel,akiec,1,0.52435374,0.091
traditional_correct_deep_wrong,mel,mel,bkl,1,0.48899585,0.004
