true_label,pred_label,count,avg_confidence,avg_margin,avg_hair_ratio,high_conf_errors,risky_errors,support,pct_of_true
mel,nv,24,0.7131602687499999,0.47877639798541666,0.028083333333333335,6,24,111,0.21621621621621623
nv,mel,15,0.7425908680000001,0.4970172637333333,0.023,3,0,671,0.022354694485842028
nv,bkl,6,0.6124115566666667,0.2531758816666667,0.011833333333333335,0,0,671,0.00894187779433681
bkl,nv,5,0.9054870660000001,0.81533241502,0.0188,3,0,110,0.045454545454545456
bkl,mel,5,0.7831478,0.601673888,0.0588,0,0,110,0.045454545454545456
nv,vasc,4,0.760286295,0.56494250825,0.024,1,0,671,0.005961251862891207
mel,bkl,4,0.6051357025,0.294305065,0.0135,0,4,111,0.036036036036036036
akiec,mel,3,0.8913511399999999,0.8253383802333333,0.028999999999999998,2,0,33,0.09090909090909091
bkl,akiec,2,0.9951962700000001,0.99138818108,0.020499999999999997,2,0,110,0.01818181818181818
akiec,bcc,1,0.9576061,0.920427535,0.004,1,0,33,0.030303030303030304
akiec,bkl,1,0.66375214,0.33685970000000004,0.041,0,1,33,0.030303030303030304
bkl,bcc,1,0.64972025,0.40650874000000004,0.002,0,0,110,0.00909090909090909
akiec,nv,1,0.64790535,0.31018201000000006,0.034,0,0,33,0.030303030303030304
nv,bcc,1,0.56698626,0.28028117999999996,0.046,0,0,671,0.0014903129657228018
mel,akiec,1,0.52435374,0.08729806000000001,0.091,0,0,111,0.009009009009009009
