image_id,true_label,pred_label,correct,confidence,attention_file,gradcam_file
ISIC_0027911,nv,bkl,False,0.7601223,interpretability\outputs_interpretability_deep\attention_maps\wrong_3_nv_bkl_ISIC_0027911.png,
ISIC_0031411,nv,mel,False,0.7425966,interpretability\outputs_interpretability_deep\attention_maps\wrong_2_nv_mel_ISIC_0031411.png,
ISIC_0024525,mel,nv,False,0.57197416,interpretability\outputs_interpretability_deep\attention_maps\wrong_0_mel_bkl_ISIC_0024525.png,interpretability\outputs_interpretability_deep\gradcam\gradcam_15_mel_bkl_ISIC_0024525.png
ISIC_0032870,mel,bkl,False,0.4336909,interpretability\outputs_interpretability_deep\attention_maps\wrong_9_mel_bkl_ISIC_0032870.png,
ISIC_0031631,nv,nv,True,0.99999696,interpretability\outputs_interpretability_deep\attention_maps\correct_6_nv_nv_ISIC_0031631.png,interpretability\outputs_interpretability_deep\gradcam\gradcam_6_nv_nv_ISIC_0031631.png
ISIC_0025860,nv,nv,True,0.9999963,,interpretability\outputs_interpretability_deep\gradcam\gradcam_11_nv_nv_ISIC_0025860.png
ISIC_0032506,nv,nv,True,0.9999933,interpretability\outputs_interpretability_deep\attention_maps\correct_3_nv_nv_ISIC_0032506.png,interpretability\outputs_interpretability_deep\gradcam\gradcam_3_nv_nv_ISIC_0032506.png
ISIC_0026648,nv,nv,True,0.99997044,,interpretability\outputs_interpretability_deep\gradcam\gradcam_14_nv_nv_ISIC_0026648.png
ISIC_0030643,nv,nv,True,0.99996185,,interpretability\outputs_interpretability_deep\gradcam\gradcam_12_nv_nv_ISIC_0030643.png
ISIC_0025780,akiec,akiec,True,0.9999278,interpretability\outputs_interpretability_deep\attention_maps\correct_9_akiec_akiec_ISIC_0025780.png,interpretability\outputs_interpretability_deep\gradcam\gradcam_9_akiec_akiec_ISIC_0025780.png
ISIC_0029311,bkl,bkl,True,0.99990344,interpretability\outputs_interpretability_deep\attention_maps\correct_8_bkl_bkl_ISIC_0029311.png,interpretability\outputs_interpretability_deep\gradcam\gradcam_8_bkl_bkl_ISIC_0029311.png
ISIC_0025776,nv,nv,True,0.9994833,interpretability\outputs_interpretability_deep\attention_maps\correct_7_nv_nv_ISIC_0025776.png,interpretability\outputs_interpretability_deep\gradcam\gradcam_7_nv_nv_ISIC_0025776.png
ISIC_0029345,bkl,bkl,True,0.9980425,,interpretability\outputs_interpretability_deep\gradcam\gradcam_13_bkl_bkl_ISIC_0029345.png
ISIC_0032195,nv,nv,True,0.9968079,interpretability\outputs_interpretability_deep\attention_maps\correct_0_nv_nv_ISIC_0032195.png,interpretability\outputs_interpretability_deep\gradcam\gradcam_0_nv_nv_ISIC_0032195.png
ISIC_0034181,nv,nv,True,0.9936043,interpretability\outputs_interpretability_deep\attention_maps\correct_2_nv_nv_ISIC_0034181.png,interpretability\outputs_interpretability_deep\gradcam\gradcam_2_nv_nv_ISIC_0034181.png
ISIC_0027069,mel,mel,True,0.9823845,interpretability\outputs_interpretability_deep\attention_maps\wrong_5_mel_akiec_ISIC_0027069.png,
ISIC_0031713,nv,nv,True,0.97531384,interpretability\outputs_interpretability_deep\attention_maps\wrong_6_nv_mel_ISIC_0031713.png,
ISIC_0031230,nv,nv,True,0.93723303,,interpretability\outputs_interpretability_deep\gradcam\gradcam_10_nv_nv_ISIC_0031230.png
ISIC_0033670,mel,mel,True,0.923267,interpretability\outputs_interpretability_deep\attention_maps\correct_1_mel_mel_ISIC_0033670.png,interpretability\outputs_interpretability_deep\gradcam\gradcam_1_mel_mel_ISIC_0033670.png
ISIC_0029329,bkl,bkl,True,0.92299736,interpretability\outputs_interpretability_deep\attention_maps\wrong_1_bkl_bcc_ISIC_0029329.png,
ISIC_0028580,nv,nv,True,0.890457,interpretability\outputs_interpretability_deep\attention_maps\correct_5_nv_nv_ISIC_0028580.png,interpretability\outputs_interpretability_deep\gradcam\gradcam_5_nv_nv_ISIC_0028580.png
ISIC_0026279,nv,nv,True,0.8245786,interpretability\outputs_interpretability_deep\attention_maps\wrong_4_nv_mel_ISIC_0026279.png,
ISIC_0026216,nv,nv,True,0.73488235,interpretability\outputs_interpretability_deep\attention_maps\correct_4_nv_nv_ISIC_0026216.png,interpretability\outputs_interpretability_deep\gradcam\gradcam_4_nv_nv_ISIC_0026216.png
ISIC_0031926,nv,nv,True,0.698094,interpretability\outputs_interpretability_deep\attention_maps\wrong_8_nv_mel_ISIC_0031926.png,
ISIC_0026365,bkl,bkl,True,0.60886663,interpretability\outputs_interpretability_deep\attention_maps\wrong_7_bkl_nv_ISIC_0026365.png,
