group,n_traditional,errors_traditional,error_rate_traditional,n_deep,errors_deep,error_rate_deep,mean_error_rate
face,141,75,0.5319148936170213,64.0,8.0,0.125,0.32845744680851063
ear,10,6,0.6,6.0,0.0,0.0,0.3
scalp,23,11,0.4782608695652174,17.0,2.0,0.1176470588235294,0.2979539641943734
chest,86,40,0.4651162790697674,47.0,5.0,0.1063829787234042,0.2857496288965858
neck,32,11,0.34375,13.0,2.0,0.1538461538461538,0.2487980769230769
back,427,139,0.3255269320843091,229.0,22.0,0.0960698689956331,0.21079840053997112
upper extremity,235,74,0.3148936170212766,105.0,11.0,0.1047619047619047,0.20982776089159066
hand,18,5,0.2777777777777778,12.0,1.0,0.0833333333333333,0.18055555555555555
lower extremity,446,113,0.2533632286995516,221.0,12.0,0.0542986425339366,0.1538309356167441
unknown,47,9,0.1914893617021276,21.0,1.0,0.0476190476190476,0.11955420466058761
abdomen,214,38,0.1775700934579439,104.0,4.0,0.0384615384615384,0.10801581595974115
foot,48,4,0.0833333333333333,29.0,2.0,0.0689655172413793,0.0761494252873563
trunk,268,27,0.1007462686567164,131.0,4.0,0.0305343511450381,0.06564030990087726
acral,1,0,0.0,,,,0.0
