factor,group,n,errors,error_rate,avg_confidence,high_conf_errors,risky_errors
true_label,akiec,33,6,0.18181818181818182,0.9312053981818182,3,1
true_label,bcc,51,0,0.0,0.9281044239215686,0,0
true_label,bkl,110,13,0.11818181818181818,0.8803961132727273,5,0
true_label,df,12,0,0.0,0.9683634883333333,0,0
true_label,mel,111,29,0.26126126126126126,0.8356341133333334,6,28
true_label,nv,671,26,0.038748137108792845,0.9560723780476901,4,0
true_label,vasc,14,0,0.0,0.9534212685714286,0,0
pred_label,akiec,30,3,0.1,0.9433735803333333,2,0
pred_label,bcc,54,3,0.05555555555555555,0.9168081153703703,1,0
pred_label,bkl,108,11,0.10185185185185185,0.8566578669444445,0,5
pred_label,df,12,0,0.0,0.9683634883333333,0,0
pred_label,mel,105,23,0.21904761904761905,0.8611742763809525,5,0
pred_label,nv,675,30,0.044444444444444446,0.9561396874074073,9,24
pred_label,vasc,18,4,0.2222222222222222,0.9105023855555555,1,0
error_type,akiec->bcc,1,1,1.0,0.9576061,1,0
error_type,akiec->bkl,1,1,1.0,0.66375214,0,1
error_type,akiec->mel,3,3,1.0,0.8913511399999999,2,0
error_type,akiec->nv,1,1,1.0,0.64790535,0,0
error_type,bkl->akiec,2,2,1.0,0.9951962700000001,2,0
error_type,bkl->bcc,1,1,1.0,0.64972025,0,0
error_type,bkl->mel,5,5,1.0,0.7831478,0,0
error_type,bkl->nv,5,5,1.0,0.9054870660000001,3,0
error_type,correct,928,0,0.0,0.9478944796982759,0,0
error_type,mel->akiec,1,1,1.0,0.52435374,0,0
error_type,mel->bkl,4,4,1.0,0.6051357025,0,4
error_type,mel->nv,24,24,1.0,0.7131602687499999,6,24
error_type,nv->bcc,1,1,1.0,0.56698626,0,0
error_type,nv->bkl,6,6,1.0,0.6124115566666667,0,0
error_type,nv->mel,15,15,1.0,0.7425908680000001,3,0
error_type,nv->vasc,4,4,1.0,0.760286295,1,0
hair_bin,0-1%,272,28,0.10294117647058823,0.899313622242647,4,10
hair_bin,1-5%,511,36,0.07045009784735812,0.9378579041291585,11,15
hair_bin,5-10%,149,9,0.06040268456375839,0.9594182358389262,3,4
hair_bin,10-20%,37,0,0.0,0.970572431081081,0,0
hair_bin,>20%,33,1,0.030303030303030304,0.9524756587878788,0,0
is_valid,False,6,0,0.0,0.9094384333333334,0,0
is_valid,True,996,74,0.07429718875502007,0.9324279693674699,18,29
age_bin,<=30,113,6,0.05309734513274336,0.9538788171681416,2,4
age_bin,31-45,295,10,0.03389830508474576,0.9537090720000001,1,3
age_bin,46-60,278,20,0.07194244604316546,0.9426488333093526,7,8
age_bin,61-75,251,26,0.10358565737051793,0.9020147035059761,6,9
age_bin,>75,58,12,0.20689655172413793,0.8545933701724139,2,5
age_bin,,7,0,0.0,0.9991319714285715,0,0
sex,female,453,33,0.0728476821192053,0.9402971581456954,8,14
sex,male,541,41,0.07578558225508318,0.9246746674491682,10,15
sex,unknown,8,0,0.0,0.993910045,0,0
localization,abdomen,104,4,0.038461538461538464,0.9700050060576924,2,3
localization,back,229,22,0.09606986899563319,0.910771608558952,4,8
localization,chest,47,5,0.10638297872340426,0.906678040212766,0,5
localization,ear,6,0,0.0,0.9190772383333333,0,0
localization,face,64,8,0.125,0.89252641125,2,2
localization,foot,29,2,0.06896551724137931,0.9365341189655172,0,1
localization,genital,3,0,0.0,0.99820508,0,0
localization,hand,12,1,0.08333333333333333,0.9424108533333334,0,0
localization,lower extremity,221,12,0.05429864253393665,0.9423604233031675,4,4
localization,neck,13,2,0.15384615384615385,0.8688846030769231,0,1
localization,scalp,17,2,0.11764705882352941,0.9138314176470589,1,1
localization,trunk,131,4,0.030534351145038167,0.9681956669465649,2,1
localization,unknown,21,1,0.047619047619047616,0.9857161299999999,0,0
localization,upper extremity,105,11,0.10476190476190476,0.9082728946666667,3,3
dataset,rosendahl,238,29,0.12184873949579832,0.8732889215966386,7,11
dataset,vidir_modern,330,35,0.10606060606060606,0.914617983939394,8,14
dataset,vidir_molemax,393,4,0.010178117048346057,0.9838014110941476,2,2
dataset,vienna_dias,41,6,0.14634146341463414,0.9232740363414634,1,2
dx_type,confocal,6,0,0.0,0.9484763133333334,0,0
dx_type,consensus,72,1,0.013888888888888888,0.9725724926388888,1,0
dx_type,follow_up,370,1,0.002702702702702703,0.9872424695405406,0,0
dx_type,histo,554,72,0.1299638989169675,0.8901788754693141,17,29
