factor,group,n,errors,error_rate,risky_errors
true_label,akiec,65,45,0.6923076923076923,8
true_label,bcc,103,84,0.8155339805825242,16
true_label,bkl,220,134,0.6090909090909091,0
true_label,df,23,23,1.0,0
true_label,mel,223,154,0.6905829596412556,144
true_label,nv,1341,84,0.06263982102908278,0
true_label,vasc,28,28,1.0,0
pred_label,akiec,51,31,0.6078431372549019,0
pred_label,bcc,55,36,0.6545454545454545,0
pred_label,bkl,181,95,0.5248618784530387,62
pred_label,mel,151,82,0.543046357615894,0
pred_label,nv,1565,308,0.19680511182108626,106
error_type,akiec->bcc,10,10,1.0,0
error_type,akiec->bkl,8,8,1.0,8
error_type,akiec->mel,7,7,1.0,0
error_type,akiec->nv,20,20,1.0,0
error_type,bcc->akiec,9,9,1.0,0
error_type,bcc->bkl,16,16,1.0,16
error_type,bcc->mel,6,6,1.0,0
error_type,bcc->nv,53,53,1.0,0
error_type,bkl->akiec,9,9,1.0,0
error_type,bkl->bcc,9,9,1.0,0
error_type,bkl->mel,24,24,1.0,0
error_type,bkl->nv,92,92,1.0,0
error_type,correct,1451,0,0.0,0
error_type,df->akiec,1,1,1.0,0
error_type,df->bcc,2,2,1.0,0
error_type,df->bkl,3,3,1.0,0
error_type,df->mel,2,2,1.0,0
error_type,df->nv,15,15,1.0,0
error_type,mel->akiec,7,7,1.0,0
error_type,mel->bcc,3,3,1.0,0
error_type,mel->bkl,38,38,1.0,38
error_type,mel->nv,106,106,1.0,106
error_type,nv->akiec,4,4,1.0,0
error_type,nv->bcc,10,10,1.0,0
error_type,nv->bkl,28,28,1.0,0
error_type,nv->mel,42,42,1.0,0
error_type,vasc->akiec,1,1,1.0,0
error_type,vasc->bcc,2,2,1.0,0
error_type,vasc->bkl,2,2,1.0,0
error_type,vasc->mel,1,1,1.0,0
error_type,vasc->nv,22,22,1.0,0
hair_bin,0-1%,536,209,0.38992537313432835,56
hair_bin,1-5%,1021,270,0.2644466209598433,94
hair_bin,5-10%,284,57,0.2007042253521127,16
hair_bin,10-20%,118,13,0.11016949152542373,1
hair_bin,>20%,44,3,0.06818181818181818,1
age_bin,<=30,238,33,0.13865546218487396,9
age_bin,31-45,597,82,0.1373534338358459,22
age_bin,46-60,574,152,0.26480836236933797,51
age_bin,61-75,454,217,0.4779735682819383,67
age_bin,>75,127,67,0.5275590551181102,19
age_bin,,13,1,0.07692307692307693,0
sex,female,904,210,0.2323008849557522,64
sex,male,1086,342,0.3149171270718232,104
sex,unknown,13,0,0.0,0
localization,abdomen,214,38,0.17757009345794392,11
localization,acral,1,0,0.0,0
localization,back,427,139,0.3255269320843091,45
localization,chest,86,40,0.46511627906976744,14
localization,ear,10,6,0.6,1
localization,face,141,75,0.5319148936170213,19
localization,foot,48,4,0.08333333333333333,3
localization,genital,7,0,0.0,0
localization,hand,18,5,0.2777777777777778,0
localization,lower extremity,446,113,0.2533632286995516,33
localization,neck,32,11,0.34375,2
localization,scalp,23,11,0.4782608695652174,2
localization,trunk,268,27,0.10074626865671642,6
localization,unknown,47,9,0.19148936170212766,2
localization,upper extremity,235,74,0.3148936170212766,30
dataset,rosendahl,448,228,0.5089285714285714,59
dataset,vidir_modern,689,269,0.3904208998548621,98
dataset,vidir_molemax,792,43,0.054292929292929296,5
dataset,vienna_dias,74,12,0.16216216216216217,6
dx_type,confocal,16,8,0.5,0
dx_type,consensus,172,71,0.4127906976744186,0
dx_type,follow_up,739,1,0.0013531799729364006,0
dx_type,histo,1076,472,0.43866171003717475,168
